link,movie_name,ranking,score,score_num,
,,,,,
https://movie.douban.com/subject/1309220/,黑社会,1309220,8,75324,
,,,,,
https://movie.douban.com/subject/3077668/,天水围的日与夜,3077668,8.5,76679,
,,,,,
https://movie.douban.com/subject/3217122/,一页台北,3217122,6.6,72506,
,,,,,
https://movie.douban.com/subject/1293818/,钢琴课,1293818,8,67553,
,,,,,
https://movie.douban.com/subject/6097775/,艺术家,6097775,8.4,78123,
,,,,,
https://movie.douban.com/subject/3264045/,花木兰,3264045,6.2,76209,
,,,,,
https://movie.douban.com/subject/1292267/,银河系漫游指南,1292267,8.1,78881,
,,,,,
https://movie.douban.com/subject/26816086/,银魂,26816086,7,83560,
,,,,,
https://movie.douban.com/subject/24735062/,青春派,24735062,7.4,76200,
,,,,,
https://movie.douban.com/subject/5360889/,月升王国,5360889,8.2,80566,
,,,,,
https://movie.douban.com/subject/1892531/,可爱的骨头,1892531,7.1,77783,
,,,,,
https://movie.douban.com/subject/1469441/,看上去很美,1469441,7.9,66795,
,,,,,
https://movie.douban.com/subject/2996640/,朱莉与朱莉娅,2996640,8,77254,
,,,,,
https://movie.douban.com/subject/4935011/,白兔糖,4935011,7.9,76184,
,,,,,
https://movie.douban.com/subject/1433736/,古惑仔之人在江湖,1433736,7.8,67143,
,,,,,
https://movie.douban.com/subject/1291562/,黑暗中的舞者,1291562,8.3,65712,
,,,,,
https://movie.douban.com/subject/3312344/,证人,3312344,7.2,70746,
,,,,,
https://movie.douban.com/subject/26648249/,月光男孩,26648249,7.3,82551,
,,,,,
https://movie.douban.com/subject/6021916/,血肉之躯,6021916,7.3,78852,
,,,,,
https://movie.douban.com/subject/25793398/,海洋奇缘,25793398,7.5,83187,
,,,,,
https://movie.douban.com/subject/3623024/,我的初恋情人,3623024,7.3,68062,
,,,,,
https://movie.douban.com/subject/1295965/,我最好朋友的婚礼,1295965,7.4,66846,
,,,,,
https://movie.douban.com/subject/2065021/,热血高校,2065021,7.7,73355,
,,,,,
https://movie.douban.com/subject/1440703/,爱再来一次,1440703,8,69936,
,,,,,
https://movie.douban.com/subject/26593587/,天才少女,26593587,8.2,79564,y
,,,,,
https://movie.douban.com/subject/2054026/,结婚大作战,2054026,6.6,69078,
,,,,,
https://movie.douban.com/subject/1949812/,东京审判,1949812,7.3,63820,
,,,,,
https://movie.douban.com/subject/3805946/,比悲伤更悲伤的故事,3805946,7.7,68588,
,,,,,
https://movie.douban.com/subject/1292047/,蓝白红三部曲之红,1292047,8.7,63681,
,,,,,
https://movie.douban.com/subject/1308819/,BJ单身日记2：理性边缘,1308819,7.2,68136,
,,,,,
https://movie.douban.com/subject/1937401/,K歌情人,1937401,7.5,69431,
,,,,,
https://movie.douban.com/subject/1307740/,千机变,1307740,5.7,63251,
,,,,,
https://movie.douban.com/subject/1306317/,美少年之恋,1306317,7.4,67092,
,,,,,
https://movie.douban.com/subject/1760104/,加菲猫2,1760104,7.4,62668,
,,,,,
https://movie.douban.com/subject/3230115/,极限特工3：终极回归,3230115,5.6,82827,
,,,,,
https://movie.douban.com/subject/4724373/,死神来了5,4724373,6.5,70425,
,,,,,
https://movie.douban.com/subject/5262338/,虞美人盛开的山坡,5262338,7.8,72987,
,,,,,
https://movie.douban.com/subject/1851906/,辛普森一家,1851906,8.4,64653,
,,,,,
https://movie.douban.com/subject/1294362/,星球大战前传1：幽灵的威胁,1294362,8.1,69041,
,,,,,
https://movie.douban.com/subject/1293315/,阿郎的故事,1293315,8.5,64640,
,,,,,
https://movie.douban.com/subject/4036000/,80'后,4036000,6.9,66417,
,,,,,
https://movie.douban.com/subject/1393479/,韩城攻略,1393479,6,60066,
,,,,,
https://movie.douban.com/subject/4903613/,你好，陌生人,4903613,7.7,66419,
,,,,,
https://movie.douban.com/subject/4111416/,无人驾驶,4111416,6.2,65472,
,,,,,
https://movie.douban.com/subject/25785314/,爸爸去哪儿,25785314,6,75601,
,,,,,
https://movie.douban.com/subject/1306526/,触不到的恋人,1306526,7.9,64313,
,,,,,
https://movie.douban.com/subject/1986338/,歌舞青春2,1986338,7.2,64476,
,,,,,
https://movie.douban.com/subject/1299193/,理智与情感,1299193,8.3,65386,
,,,,,
https://movie.douban.com/subject/1468155/,伊莎贝拉,1468155,7.6,62119,
,,,,,
https://movie.douban.com/subject/3275168/,单身男子,3275168,8.5,72948,
,,,,,
https://movie.douban.com/subject/1296384/,心理游戏,1296384,7.6,69978,
,,,,,
https://movie.douban.com/subject/3036464/,闰年,3036464,7.7,69547,
,,,,,
https://movie.douban.com/subject/24987018/,赤道,24987018,6,74942,
,,,,,
https://movie.douban.com/subject/1439579/,名侦探柯南：引爆摩天楼,1439579,8.3,67442,
,,,,,
https://movie.douban.com/subject/30122633/,快把我哥带走,30122633,7,69250,
,,,,,
https://movie.douban.com/subject/1482077/,灵魂战车,1482077,6.4,64983,y
,,,,,
https://movie.douban.com/subject/1303184/,异度空间,1303184,7.4,61680,
,,,,,
https://movie.douban.com/subject/1863955/,另一个波琳家的女孩,1863955,6.9,66103,
,,,,,
https://movie.douban.com/subject/1301948/,梦旅人,1301948,8.3,61017,
,,,,,
https://movie.douban.com/subject/3346464/,给朱丽叶的信,3346464,7.6,65884,
,,,,,
https://movie.douban.com/subject/1293434/,王牌对王牌,1293434,8.4,70069,
,,,,,
https://movie.douban.com/subject/2279152/,名侦探柯南：世纪末的魔术师,2279152,8.4,66746,
,,,,,
https://movie.douban.com/subject/1292289/,心动,1292289,8.2,63598,
,,,,,
https://movie.douban.com/subject/1291851/,小武,1291851,8.3,62532,
,,,,,
https://movie.douban.com/subject/20514947/,龙虾,20514947,7.5,73754,
,,,,,
https://movie.douban.com/subject/1307697/,芝加哥,1307697,8.6,68735,
,,,,,
https://movie.douban.com/subject/4230918/,结婚礼服,4230918,8.5,67467,y
,,,,,
https://movie.douban.com/subject/1300220/,莎翁情史,1300220,7.3,62178,
,,,,,
https://movie.douban.com/subject/10438426/,浮城谜事,10438426,7.3,68361,
,,,,,
https://movie.douban.com/subject/22715021/,僵尸,22715021,7.8,74584,
,,,,,
https://movie.douban.com/subject/4062922/,72家租客,4062922,6.7,66309,
,,,,,
https://movie.douban.com/subject/1471507/,十三罗汉,1471507,7.3,63463,
,,,,,
https://movie.douban.com/subject/1466394/,王的男人,1466394,6.9,62009,
,,,,,
https://movie.douban.com/subject/21327493/,精灵旅社2,21327493,7.5,73627,
,,,,,
https://movie.douban.com/subject/26945085/,昆池岩,26945085,6.1,77451,
,,,,,
https://movie.douban.com/subject/3824274/,刺猬的优雅,3824274,8.8,67311,
,,,,,
https://movie.douban.com/subject/26235349/,三人行,26235349,5.9,74997,
,,,,,
https://movie.douban.com/subject/2974278/,蓝色情人节,2974278,7.8,65852,
,,,,,
https://movie.douban.com/subject/1307389/,憨豆特工,1307389,7.5,62843,
,,,,,
https://movie.douban.com/subject/26694988/,比海更深,26694988,8.7,72131,
,,,,,
https://movie.douban.com/subject/5360890/,羞耻,5360890,7.3,65591,
,,,,,
https://movie.douban.com/subject/6873736/,愤怒的小鸟,6873736,7,73838,
,,,,,
https://movie.douban.com/subject/1394968/,举起手来！,1394968,6.4,60883,
,,,,,
https://movie.douban.com/subject/3268216/,桃花运,3268216,5.7,60818,
,,,,,
https://movie.douban.com/subject/25964630/,黑镜：圣诞特别篇,25964630,9.1,71311,
,,,,,
https://movie.douban.com/subject/1293145/,费城故事,1293145,8.6,63572,
,,,,,
https://movie.douban.com/subject/20257326/,极品飞车,20257326,7.2,70710,
,,,,,
https://movie.douban.com/subject/25805054/,十万个冷笑话,25805054,6.3,71164,
,,,,,
https://movie.douban.com/subject/1585146/,黄金罗盘,1585146,6.4,61999,
,,,,,
https://movie.douban.com/subject/5244092/,翻滚吧！阿信,5244092,7.2,64466,
,,,,,
https://movie.douban.com/subject/2357703/,名侦探柯南：通向天国的倒计时,2357703,8.5,63592,
,,,,,
https://movie.douban.com/subject/1301106/,布达佩斯之恋,1301106,8.6,61346,
,,,,,
https://movie.douban.com/subject/3321409/,别让我走,3321409,7.7,64527,
,,,,,
https://movie.douban.com/subject/6887029/,醉乡民谣,6887029,8,67906,
,,,,,
https://movie.douban.com/subject/2076181/,无姓之人,2076181,8.2,67409,
,,,,,
https://movie.douban.com/subject/3212120/,九降风,3212120,7.4,60892,
,,,,,
https://movie.douban.com/subject/1300275/,大开眼戒,1300275,7.7,61016,
,,,,,
https://movie.douban.com/subject/7064681/,狼的孩子雨和雪,7064681,8.6,68380,
